#Core: ddr2_12_phy - Instance: ddr2_interface2um|ddr2_ctrl_hp_inst|ddr2_12_controller_phy_inst|ddr2_12_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 900mV 85C Model)",1.935,1.931
"DQS vs CK (Slow 900mV 85C Model)",0.946,0.944
"Phy (Slow 900mV 85C Model)",0.993,0.209
"Phy Reset (Slow 900mV 85C Model)",1.254,0.534
"Read Capture (Slow 900mV 85C Model)",0.396,0.607
"Read Resync (All Conditions)",1.435,1.586
"Write (Slow 900mV 85C Model)",0.867,0.572
 
"Address Command (Slow 900mV 0C Model)",1.942,1.970
"DQS vs CK (Slow 900mV 0C Model)",0.970,0.965
"Phy (Slow 900mV 0C Model)",1.174,0.183
"Phy Reset (Slow 900mV 0C Model)",1.540,0.518
"Read Capture (Slow 900mV 0C Model)",0.473,0.534
"Read Resync (All Conditions)",1.435,1.586
"Write (Slow 900mV 0C Model)",0.877,0.591
 
"Address Command (Fast 900mV 0C Model)",2.076,2.003
"DQS vs CK (Fast 900mV 0C Model)",1.020,1.036
"Phy (Fast 900mV 0C Model)",2.289,0.083
"Phy Reset (Fast 900mV 0C Model)",2.820,0.276
"Read Capture (Fast 900mV 0C Model)",0.501,0.645
"Read Resync (All Conditions)",1.458,1.609
"Write (Fast 900mV 0C Model)",0.949,0.669
